chemical_name,letter,faqid,toxid
Synthetic Vitreous Fibers,S,907,185
"1,1,1-Trichloroethane",T,431,76
"1,1,2,2-Tetrachloroethane",T,800,156
"1,1,2-Trichloroethane",T,795,155
"1,2,3-Trichloropropane",T,911,186
"2,4,6-Trinitrotoluene (TNT)",T,676,125
Tetrachloroethylene (PERC),T,264,48
Tetryl,T,1018,216
Thallium,T,308,49
Thorium,T,659,121
Tin and Compounds,T,542,98
Titanium Tetrachloride,T,663,122
Toluene,T,160,29
Toluene Diisocyanate  Methylenediphenyl Diisocyanate,T,1454,245
Total Petroleum Hydrocarbons (TPH),T,423,75
Toxaphene,T,547,99
Trichlorobenzenes,T,1169,255
Trichloroethylene (TCE),T,172,30
Tungsten,T,805,157
Uranium,U,439,77
Used Mineral-based Crankcase Oil,U,666,123
Vanadium,V,275,50
Vinyl Acetate,V,670,124
Vinyl Chloride,V,281,51
White Phosphorus,W,284,52
Xylenes,X,295,53
Zinc,Z,301,54
